material_id,formula,density,elements,band_gap,crystal_system,crystal_code,pages,refractive_index
mp-2647017,C,1.672314531438791,C,0.244099999999999,Monoclinic,6,"['Arakawa', 'Djurisic-e', 'Djurisic-o', 'Dore', 'El-Sayed', 'Ermolaev-SWCNT-e', 'Ermolaev-SWCNT-o', 'Ermolaev', 'Hagemann', 'Larruquert', 'Peter', 'Phillip', 'Querry-Asbury3222', 'Querry-AsburyMicro260', 'Querry-Dixon1102', 'Querry-Dixon200-10', 'Querry-DixonHPN2', 'Querry-DixonKS2', 'Querry-Pyrolytic', 'Song-Arc', 'Song-cHOPG-e', 'Song-cHOPG-o', 'Song-HiPco', 'Song-sHOPG-e', 'Song-sHOPG-o', 'Song', 'Taylor', 'Tikuisis', 'Weber']",2.274911838790932
mp-42,Ta,16.251792226010433,Ta,0.0,Tetragonal,2,"['Ordal', 'Werner-DFT', 'Werner', 'Windt']",2.8792711091753778
mp-1947043,Bi,9.969674128659443,Bi,0.080799999999999,Monoclinic,6,"['Hagemann', 'Werner-DFT', 'Werner']",1.8775314516129031
mp-1180307,Mo,9.61996512242326,Mo,0.0,Monoclinic,6,"['Kirillova', 'Ordal', 'Querry', 'Werner-DFT', 'Werner', 'Windt']",3.15
mp-2204849,O2,1.807021789311107,O,2.720399999999999,Monoclinic,6,"['Smith', 'Zhang']",1.0002541288257703
mp-1079297,Si,2.231027796342244,Si,0.2735,Monoclinic,6,"['Aspnes', 'Chandler-Horowitz', 'Daub', 'Edwards', 'Franta-100K', 'Franta-10K', 'Franta-150K', 'Franta-200K', 'Franta-20C', 'Franta-250K', 'Franta-25C', 'Franta-300K', 'Franta-350K', 'Franta-400K', 'Franta-450K', 'Franta-500K', 'Franta-50K', 'Franta', 'Green-1995', 'Green-2008', 'Jellison', 'Li-100K', 'Li-150K', 'Li-200K', 'Li-250K', 'Li-293K', 'Li-350K', 'Li-400K', 'Li-450K', 'Li-500K', 'Li-550K', 'Li-600K', 'Li-650K', 'Li-700K', 'Li-750K', 'Pierce', 'Salzberg', 'Schinke', 'Shkondin', 'Sik-250C', 'Sik-25C', 'Sik-500C', 'Sik-700C', 'Sik-850C', 'Vuye-100C', 'Vuye-150C', 'Vuye-200C', 'Vuye-20C', 'Vuye-250C', 'Vuye-300C', 'Vuye-350C', 'Vuye-400C', 'Vuye-450C']",4.299202898550725
mp-12957,O2,1.974484493998944,O,1.0933,Monoclinic,6,"['Smith', 'Zhang']",1.0002541288257703
mp-1009490,O2,1.435251682925213,O,1.426,Monoclinic,6,"['Smith', 'Zhang']",1.0002541288257703
mp-1080826,C,3.397925313187996,C,3.4876,Monoclinic,6,"['Arakawa', 'Djurisic-e', 'Djurisic-o', 'Dore', 'El-Sayed', 'Ermolaev-SWCNT-e', 'Ermolaev-SWCNT-o', 'Ermolaev', 'Hagemann', 'Larruquert', 'Peter', 'Phillip', 'Querry-Asbury3222', 'Querry-AsburyMicro260', 'Querry-Dixon1102', 'Querry-Dixon200-10', 'Querry-DixonHPN2', 'Querry-DixonKS2', 'Querry-Pyrolytic', 'Song-Arc', 'Song-cHOPG-e', 'Song-cHOPG-o', 'Song-HiPco', 'Song-sHOPG-e', 'Song-sHOPG-o', 'Song', 'Taylor', 'Tikuisis', 'Weber']",2.274911838790932
mp-1096915,Cs,1.908856274035875,Cs,0.0,Monoclinic,6,"['Ives', 'Monin', 'Smith', 'Whang']",0.33943880326382597
